artist_name,artist_uri
The Police,spotify:artist:5NGO30tJxFlKixkPSgXcFE
Bill Withers,spotify:artist:1ThoqLcyIYvZn7iWbj8fsj
ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV
The Sugarhill Gang,spotify:artist:7zliF6Q946WznVk3ZMYhZX
Jet,spotify:artist:5ypxebeHEIXjMtJb17uJlI
Free,spotify:artist:2e53aHBQdCMKWqHDuyJsjC
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
Jack Ü,spotify:artist:1HxJeLhIuegM3KgvPn8sTa
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
Big Time Rush,spotify:artist:0GWCNkPi54upO9WLlwjAHd
DJ Snake,spotify:artist:540vIaP2JwjQb9dm3aArA4
David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
Jacquees,spotify:artist:4tMm1dU6Gn04VAZ9ClHcIZ
Parachute,spotify:artist:2PCUhxD40qlMqsKHjTZD2e
Train,spotify:artist:3FUY2gzHeIiaesXtOAdB7A
Hot Chelle Rae,spotify:artist:6jTnHxhb6cDCaCu4rdvsQ0
Ellie Goulding,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
Phillip Phillips,spotify:artist:6p5JxpTc7USNnBnLzctyd4
The Script,spotify:artist:3AQRLZ9PuTAozP28Skbq8V
Rob Thomas,spotify:artist:3aBkeBhwadnWMWoVJ2CxJC
Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI
Lady Antebellum,spotify:artist:32WkQRZEVKSzVAAYqukAEA
Zedd,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq
Five For Fighting,spotify:artist:7FgMLbnZVrEnir95O0YujA
Daughtry,spotify:artist:5P5FTygHyx2G57oszR3Wot
Boyce Avenue,spotify:artist:7CQwac16i1W5ej8YpuL3dv
Boys Like Girls,spotify:artist:0vWCyXMrrvMlCcepuOJaGI
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
Taylor Henderson,spotify:artist:40usJiKvNyNHy3GAcNXSWx
Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
Witt Lowry,spotify:artist:5ghnxpW47ojtLHHyTLdxdY
Glen Hansard,spotify:artist:3Caot8EtHX6wLpNF2wRzS0
Snow Patrol,spotify:artist:3rIZMv9rysU7JkLzEaC5Jp
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
Leona Lewis,spotify:artist:5lKZWd6HiSCLfnDGrq9RAm
Cher Lloyd,spotify:artist:4m4SfDVbF5wxrwEjDKgi4k
A Rocket To The Moon,spotify:artist:1NU9Em6e8dDo36Js6nEo3t
Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI
Gavin DeGraw,spotify:artist:5DYAABs8rkY9VhwtENoQCz
Hinder,spotify:artist:6BMhCQJYHxxKAeqYS1p5rY
Shinedown,spotify:artist:70BYFdaZbEKbeauJ670ysI
Poison,spotify:artist:1fBCIkoPOPCDLUxGuWNvyo
Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q
He Is We,spotify:artist:6yFbpXlBH8XHVQGjUPUvKU
Lifehouse,spotify:artist:5PokPZn11xzZXyXSfnvIM3
Ron Pope,spotify:artist:6CmXhyslohOFRJMtPpRm4O
The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK
Christian Burghardt,spotify:artist:4URKy8206uCYX8MKlZtrLe
Echosmith,spotify:artist:1PbBg2aYjWLKRk84zJK15x
Natalie La Rose,spotify:artist:2qdONMCoDngQk0eV4Avs1i
Wiz Khalifa,spotify:artist:137W8MRPWKqSmrBGDBFSop
One Direction,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq
Rise Against,spotify:artist:6Wr3hh341P84m3EI8qdn9O
Jasmine Thompson,spotify:artist:2TL8gYTNgD6nXkyuUdDrMg
David Cook,spotify:artist:4SQxI8xg6LcSWL3KuGVHLa
Mikkel S. Eriksen,spotify:artist:4NagmapOfJiPOxJ9vQsrsf
Enrique Iglesias,spotify:artist:7qG3b048QCHVRO5Pv1T5lw
Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
Mia Martina,spotify:artist:2Mo8dJY6EXvu41mbsJ2vOC
Willamette Stone,spotify:artist:19gmxCK2V3jLMi5fDYyKtS
Hunter Hayes,spotify:artist:7H6dkUChT5EoOQtUVMg4cN
Cash Cash,spotify:artist:1LOB7jTeEV14pHai6EXSzF
Glassworks,spotify:artist:6IA80qEr2v4xCcy0GZOjgS
Shawn Hook,spotify:artist:7blkMNJv8n9ceP9zlA4W2U
Augustana,spotify:artist:61YE3whKiuRr83j1yOm5M7
Danny Gokey,spotify:artist:5Yu3b48Y29bZlI1cLPOZJz
Charlie Puth,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7
Troye Sivan,spotify:artist:3WGpXCj9YhhfX11TToZcXP
Secondhand Serenade,spotify:artist:6eouuqqGggqDlYRV63cgPo
David Archuleta,spotify:artist:2C9n4tQgNLhHPhSCmdsQnk
Tori Kelly,spotify:artist:1vSN1fsvrzpbttOYGsliDr
The Goo Goo Dolls,spotify:artist:2sil8z5kiy4r76CRTXxBCA
Tyler Ward,spotify:artist:5Hc9oDGvStNGmnj44m8sHg
Conrad Sewell,spotify:artist:1rw8ZTLnDHd74TWDDukjVi
A Great Big World,spotify:artist:5xKp3UyavIBUsGy3DQdXeF
John Newman,spotify:artist:34v5MVKeQnIo0CWYMbbrPf
D.H.T.,spotify:artist:1eAJ2GrxUU5nJYEqaxQWvW
Michael Henry & Justin Robinett,spotify:artist:7sJ8jwhDIbAHVHcvx9PKjQ
Emblem3,spotify:artist:1md9aYaJ6Qt1FHypXICB5V
Bea Miller,spotify:artist:1o2NpYGqHiCq7FoiYdyd1x
James Bay,spotify:artist:4EzkuveR9pLvDVFNx6foYD
Rascal Flatts,spotify:artist:0a1gHP0HAqALbEyxaD5Ngn
Jason Mraz,spotify:artist:4phGZZrJZRo4ElhRtViYdl
Matt Nathanson,spotify:artist:4NGiEU3Pkd8ASRyQR30jcA
Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6
Alex & Sierra,spotify:artist:58MLl9nC29IXbE4nEtuoP2
Nick Jonas,spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi
Labrinth,spotify:artist:2feDdbD5araYcm6JhFHHw7
Imaginary Future,spotify:artist:470WlqN9HSRDGNaMufeHHF
Tyler Adair,spotify:artist:4NynIFNT9fimFHB0A7HxLW
Jesse LaBelle,spotify:artist:5xLdSGejmdil911M6q1HdU
Alyssa Reid,spotify:artist:6okAv2ACUPrUrwux2B17Rc
Lukas Graham,spotify:artist:25u4wHJWxCA9vO0CzxAbK7
Autumn Hill,spotify:artist:18kuM0hOxYgGAvpLXRiqPx
Rixton,spotify:artist:0kkxsdcaWmWU2yWAqclDh4
Silver Trees,spotify:artist:5PqyUCb74JCPduh1k69CKB
Jayme Dee,spotify:artist:53w2XJb5gOntC0zBRCDmYd
James Blunt,spotify:artist:7KMqksf0UMdyA0UCf4R3ux
Alexander Cardinale,spotify:artist:1w9xONedSs7QY93KlJXK6b
Yellowcard,spotify:artist:3zxKH0qp3nBCuPZCZT5Vaf
Adam Lambert,spotify:artist:6prmLEyn4LfHlD9NnXWlf7
Against The Current,spotify:artist:6yhD1KjhLxIETFF7vIRf8B
SoMo,spotify:artist:5AtWO8IEnjhRLzaVVQxFUs
Landon Austin,spotify:artist:2WROyFfIOmKtRopsTrIL52
Tyrone Wells,spotify:artist:5zeCSgiRyezbfLiGOpKAsR
Matchbox Twenty,spotify:artist:3Ngh2zDBRPEriyxQDAMKd1
Plain White T's,spotify:artist:1g1yxsNVPhMUl9GrMjEb2o
The August Empire,spotify:artist:4luQEOtBNknloWKxPfhs8Z
Sara Haze,spotify:artist:054HxOGnZjUe5Kk39SAQxQ
Jamie Scott,spotify:artist:29QbBR0oTzA7A0kiOzrbbr
Louisa Wendorff,spotify:artist:4gXpkrW0O3Tnf1yf5YKfdK
Maggie Lindemann,spotify:artist:0uGk2czvcpWQA383Im6ajf
New Hollow,spotify:artist:4NVjldBwjF0DzudAiLvti0
Tal Bachman,spotify:artist:3KEb1kbIZN5jumsjFEWgSW
Jacob Lee,spotify:artist:4xPR9p75zzDlisJvvhEYl2
John Longhitano,spotify:artist:4DmWX5hgzAG8lWaPzdQSLA
Ferras,spotify:artist:3ZajykUFFll0Xwgal0fQfO
Brad Randall,spotify:artist:7vdXcBh0RVOD3EMWkCXpch
Nathan Sykes,spotify:artist:2Rf4X6m0oayCJhaJ5K63GQ
Colin & Caroline,spotify:artist:2Y4125mDrgQyPD7dt76Rtm
Zara Larsson,spotify:artist:1Xylc3o4UrD53lo9CvFvVg
Molly Sandén,spotify:artist:0NRMzT05nsc8mTm4iUvuHY
Angus & Julia Stone,spotify:artist:4tvKz56Tr39bkhcQUTO0Xr
Lights,spotify:artist:5pdyjBIaY5o1yOyexGIUc6
Carrollton,spotify:artist:1i5HhzrkpHFFDpsUYdz2Fs
NEEDTOBREATHE,spotify:artist:610EjgFatGvVPtib97jQ8G
JJ Heller,spotify:artist:7dq8KEwf0kQXJhM79iwcPh
Divided By Friday,spotify:artist:5yNN92qKENCA4pWmoSZJpG
Spencer Sutherland,spotify:artist:6mjz3NMhNE5SK7GsbJIg6C
Tim Be Told,spotify:artist:6L0mxhIWyV5ySKJvWrD70h
MKTO,spotify:artist:2l35CQqtYRh3d8ZIiBep4v
Jim Brickman,spotify:artist:2NzWRNaaLByHyI3wpuec8P
Howie Day,spotify:artist:0ekbDNE2eOq8QiaXM34wer
Mat Kearney,spotify:artist:2NQEwAVHBNcI0tGMLlWwF1
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
Us The Duo,spotify:artist:3QGKsAfhZdldQCLuLjk6zl
Adam Barnes,spotify:artist:5tkNOTMRZLcFnj534GQYmQ
Taylor Mathews,spotify:artist:3JsiQTWj92aPrSdBg1penX
Tossing Copper,spotify:artist:34FobNhXOS7yulcqBuIy7u
James TW,spotify:artist:0B3N0ZINFWvizfa8bKiz4v
Leroy Sanchez,spotify:artist:1qwVM2JnEMXbKgvZESGsRn
Yo Preston,spotify:artist:17QrJsIIiAFuh1VuniANKz
Hailee Steinfeld,spotify:artist:5p7f24Rk5HkUZsaS3BLG5F
The Workday Release,spotify:artist:0CMA9KfXvc2MB5U6uefQk6
Switchfoot,spotify:artist:6S58b0fr8TkWrEHOH4tRVu
A R I Z O N A,spotify:artist:7hOGhpa8RMSuDOWntGIAJt
Artist Vs Poet,spotify:artist:3kYFawNQVZ00FQbgs4rVBe
Adam Levine,spotify:artist:4bYPcJP5jwMhSivRcqie2n
Keith Urban,spotify:artist:0u2FHSq3ln94y5Q57xazwf
Daniel Sumstine,spotify:artist:2ehw8z89mnwO8WZHWWZs7a
Kygo,spotify:artist:23fqKkggKUBHNkbKtXEls4
Armin van Buuren,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5
Morgan Page,spotify:artist:1N9n8MSxrr4Emhb566493b
Joel Adams,spotify:artist:36jaGQtMj5UWD0eO1fCVdD
Anna Nalick,spotify:artist:4LoM3lMauQ540MW9QiyIcR
Clayton,spotify:artist:5ex3fB04j2XschUMZ2oxzc
Javier Colon,spotify:artist:3flTDj1VSZCktpBGZlNutt
Kevin Daniel,spotify:artist:3JRHyrJXUTOSJeZnWTrtwX
O.A.R.,spotify:artist:1Cq0LAHFfvUTBEtMPXUidI
Gavin James,spotify:artist:25tMQOrIU4LlUo6Sv8v5SE
Calum Scott,spotify:artist:6ydoSd3N2mwgwBHtF6K7eX
Little Sea,spotify:artist:05JF2urTunljp953SopuXc
The Spacies,spotify:artist:3YpKkSd9uluZRtrh2oUsVn
OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ
John Legend,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t
Daya,spotify:artist:6Dd3NScHWwnW6obMFbl1BH
Niall Horan,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4
Adele,spotify:artist:4dpARuHxo51G3z768sgnrY
Alessia Cara,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR
James Arthur,spotify:artist:4IWBUUAFIplrNtaOHcJPRM
Andrew James,spotify:artist:6xX1Zl1ebx9oUiIr8iK5HU
DNCE,spotify:artist:6T5tfhQCknKG4UnH90qGnz
Kodaline,spotify:artist:4BxCuXFJrSWGi1KHcVqaU4
Mako,spotify:artist:0Ye4nfYAA91T1X56gnlXAA
You Me At Six,spotify:artist:1kNQXvepPjaPgUfeDAF2h6
Ryan Hurd,spotify:artist:7lDVEkjIURPMyUYwoQRrpw
Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ
Sam James,spotify:artist:22PU1TSXSiqGGk4mSVMxYj
Alex Da Kid,spotify:artist:0vjlH9sbJOZyhDjhvajQpY
Isaiah,spotify:artist:5lXfVoQxVgC5fpjkVqvNYn
John Mayer,spotify:artist:0hEurMDQu99nJRq8pTxO14
The New Coast,spotify:artist:1EuCCNdLHenJnX4UUTMcWL
Tom Walker,spotify:artist:7z2avKuuiMAT4XZJFv8Rvh
U2,spotify:artist:51Blml2LZPmy7TTiAg47vQ
The Riflery,spotify:artist:74ZsMOgvNq0hCoWnzcTh50
Built By Titan,spotify:artist:0LmXoyW6K4zJ48lCRq7w3h
Lyon Hart,spotify:artist:0ONZl6KXUDfebeJILKj42o
Nikki Phillippi,spotify:artist:0uGROBOrxSjGZ25OmwORW0
Charlie Brennan,spotify:artist:3YzXK1DQ9EkWqwmUkk6yc8
Passport to Stockholm,spotify:artist:61WWbL8asVUuhoKPARU0Ng
Rasmus Hagen,spotify:artist:2xE7TMnsr4hxdQW5F3urtq
Lauv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv
The Band CAMINO,spotify:artist:6d4jrmreCmsenscuieJERc
Travis Atreo,spotify:artist:58xmt13Xf7RsThzGOM1aKh
Lord Huron,spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25
Corey Harper,spotify:artist:24Bq9F6DJfzTaqgmoxT5vm
MAGIC!,spotify:artist:0DxeaLnv6SyYk2DOqkLO8c
Luke Wade,spotify:artist:6sOSG6LdUAxXKc1afKufbi
AJR,spotify:artist:6s22t5Y3prQHyaHWUN1R1C
Dean Lewis,spotify:artist:3QSQFmccmX81fWCUSPTS7y
Blanco White,spotify:artist:3ccVtqcqedranb7y8eywJ5
Walk Off the Earth,spotify:artist:6jEiUoyyJNPHzSR0Nib6HX
Pentatonix,spotify:artist:26AHtbjWKiwYzsoGoUZq53
Seth MacFarlane,spotify:artist:79D4dipwR6scV8AN3dm7gW
Wham!,spotify:artist:5lpH0xAS4fVfLkACg9DAuM
Newsong,spotify:artist:1Ng8jGC4dL0gkkuh77pbpX
Bing Crosby,spotify:artist:6ZjFtWeHP9XN7FeKSUe80S
She & Him,spotify:artist:3CIRif6ZAedT7kZSPvj2A4
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83
Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh
Carnage,spotify:artist:7CCjtD0hCK005Bvg2WG1a7
Fetty Wap,spotify:artist:6PXS4YHDkKvl1wkIl4V8DL
Desiigner,spotify:artist:7pFeBzX627ff0VnN6bxPR4
A$AP Rocky,spotify:artist:13ubrt8QOOCPljQ2FL1Kca
Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG
KYLE,spotify:artist:4qBgvVog0wzW75IQ48mU7v
A$AP Ferg,spotify:artist:5dHt1vcEm9qb8fCyLcB3HL
J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu
Yo Gotti,spotify:artist:6Ha4aES39QiVjR0L2lwuwq
Vic Mensa,spotify:artist:27w1NoOLMX7tJMYqcetPyG
Mac Miller,spotify:artist:4LLpKhyESsyAXpc4laK94U
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs
Team Twin,spotify:artist:677zBE8673c80bV0f0p2aF
Afroman,spotify:artist:4Icvbp9RDt5aY2TWDOVDsr
Jazz Cartier,spotify:artist:0sc5zYshOdiFD4ayqMrJbJ
JAY Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
Gucci Mane,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo
QUE.,spotify:artist:4Mop3hBjHoSoKwwkzKD3Gi
DRAM,spotify:artist:5M0lbkGluOPXLeFjApw8r8
YUNG NATION,spotify:artist:5bT8zz9XjbOtDryVd3wRGw
Jalen Santoy,spotify:artist:41DGOfz7IFMVvf9wKAzeZS
Mike WiLL Made-It,spotify:artist:0NWbwDZY1VkRqFafuQm6wk
Damion,spotify:artist:7fEOJ3pGBWmzaUxm5YJRyZ
Pell,spotify:artist:2O2dI9lY9PnWtAa4OlrgMi
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
2 Chainz,spotify:artist:17lzZA2AlOHwCwFALHttmp
Playboi Carti,spotify:artist:699OTQXzgjhIYAHMy9RyPD
Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny
YFN Lucci,spotify:artist:5Berubt6ysOy2LCMyqhmXP
A$AP Mob,spotify:artist:7yO4IdJjCEPz7YgZMe25iS
Smokepurpp,spotify:artist:21dooacK2WGBB5amYvKyfM
Chief Keef,spotify:artist:15iVAtD3s3FsQR4w1v6M0P
DJ Khaled,spotify:artist:0QHgL1lAIqAw0HtD7YldmP
A2h,spotify:artist:2ktpq7bp4m1quizyEmp4r1
Lil Pump,spotify:artist:3wyVrVrFCkukjdVIdirGVY
MadeinTYO,spotify:artist:5SyGEPymt1G2uto47tVWvZ
Mark Ronson,spotify:artist:3hv9jJF3adDNsBSIQDqcjp
Jessie J,spotify:artist:2gsggkzM5R49q6jpPvazou
Justice,spotify:artist:1gR0gsQYfi6joyO1dlp76N
Kiesza,spotify:artist:4zxvC7CRGvggq9EWXOpwAo
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
Banks,spotify:artist:2xe8IXgCTpwHE3eA9hTs4n
Spice Girls,spotify:artist:0uq5PttqEjj3IH1bzwcrXF
Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Jeremih,spotify:artist:3KV3p5EY4AvKxOlhGHORLg
Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY
Tove Lo,spotify:artist:4NHQUGzhtTLFvgF5SZesLK
The Barden Bellas,spotify:artist:2BaKphge9AdjZIxQqv7WoQ
The Treblemakers,spotify:artist:1T81IFRFywCJW0SNWMv3T1
Mark Mothersbaugh,spotify:artist:5sEDTHJJyDEWVFx99hGSIb
Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865
Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp
Pia Mia,spotify:artist:1BhWF9W2PngtPSyobKg0rP
iLoveMemphis,spotify:artist:3GsIlcwgQDJVjHD82mbA0Z
Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7
Lil Jon,spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK
Janelle Monáe,spotify:artist:6ueGR6SWhUJfvEhqkvMsVs
Pharrell Williams,spotify:artist:2RdwBSPQiwcmiDo9kixcl8
Elle King,spotify:artist:3bhu7P5PfngueRHiB9hjcx
Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm
Icona Pop,spotify:artist:1VBflYyxBhnDc9uVib98rw
The Civil Wars,spotify:artist:6J7rw7NELJUCThPbAfyLIE
The Joy Formidable,spotify:artist:4LdZNE5MHGqvc0N9ivXNF3
Gotye,spotify:artist:2AsusXITU8P25dlRNhcAbG
Mogwai,spotify:artist:34UhPkLbtFKRq3nmfFgejG
Empire of the Sun,spotify:artist:67hb7towEyKvt5Z8Bx306c
Laura Veirs,spotify:artist:0jkK3K1ATFFHofEWjd2i00
Chicane,spotify:artist:5GxyeQagayzZOg4UwffQlD
Kleerup,spotify:artist:2YL0l5fnyHE9FEf1bwFGCc
The xx,spotify:artist:3iOvXCl6edW5Um0fXEBRXy
Seabear,spotify:artist:6hLIT4e0yUtIa8DXwst4mi
A Fine Frenzy,spotify:artist:5dTYaRzOn4rXGBLH052EeQ
Lykke Li,spotify:artist:6oBm8HB0yfrIc9IHbxs6in
Sleeping At Last,spotify:artist:0MeLMJJcouYXCymQSHPn8g
Strange Talk,spotify:artist:0trBqRcZ4lXqh8FERL5ZMa
Sigur Rós,spotify:artist:6UUrUCIZtQeOf8tC0WuzRy
Late Night Alumni,spotify:artist:6JtFllJR7nhh8fa6oGefSj
Joshua Radin,spotify:artist:7omzannyG2lfDqP5xyZo34
Ólafur Arnalds,spotify:artist:7E3BRXV9ZbCt5lQTCXMTia
Owl City,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6
Kaskade,spotify:artist:6TQj5BFPooTa08A7pk8AQ1
Paramore,spotify:artist:74XFHRwlV6OrjEM0A2NCMF
Reggaetones,spotify:artist:6tpuzNNJUO7xfyLlrlA5kW
Boy Wonder Chosen Few,spotify:artist:2M5YU0cTrgPPM1FHkao23k
Zion & Lennox,spotify:artist:21451j1KhjAiaYKflxBjr1
Magnate Y Valentino,spotify:artist:5hhclzZsaNfmBh0eQI44JQ
Arcangel,spotify:artist:4SsVbpTthjScTS7U2hmr1X
Zion,spotify:artist:1pgDilWYDWLoOgGjf1iHNu
Plan B,spotify:artist:2jSGzJw0ebJLu7OLVSOcBP
"Tito ""El Bambino""",spotify:artist:5fJsY7afrbsyzJj9wdzJMh
Jowell & Randy,spotify:artist:4IMAo2UQchVFyPH24PAjUs
Alexis y Fido,spotify:artist:7tU1VKOuxiNZwBZC6RHidA
Casa De Leones,spotify:artist:26YAHs5On4KQDNsU2cYFdL
Tony Dize,spotify:artist:3LKXWvXFWrkwUzJWxzwVpW
Tego Calderon,spotify:artist:3SUT1jjM5hzZj9TLfLZGIP
Wisin & Yandel,spotify:artist:1wZtkThiXbVNtj6hee6dz9
DJ Nelson,spotify:artist:2ydZrTy8U3kOMOzx20s3dg
Don Omar,spotify:artist:33ScadVnbm2X8kkUqOkC6Z
Daddy Yankee,spotify:artist:4VMYDCV2IEDYJArk749S6m
Cosculluela,spotify:artist:00me4Ke1LsvMxt5kydlMyU
J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
Nicky Jam,spotify:artist:1SupJlEpv7RS2tPNRaHViT
Yandel,spotify:artist:0eHQ9o50hj6ZDNBt6Ys1sD
J Alvarez,spotify:artist:6XFITTl7cFTdopDY3lUdlY
Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp
Luis Fonsi,spotify:artist:4V8Sr092TqfHkfAA5fXXqG
"Héctor ""El Father""",spotify:artist:2TjgzYcbTdsZjbT9OItIeB
Wisin,spotify:artist:3E6xrwgnVfYCrCs0ePERDz
Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau
Robin S,spotify:artist:2WvLeseDGPX1slhmxI59G3
Pat Benesta,spotify:artist:7wdNPEfvOIFnDnT9E2VJsd
Crystal Waters,spotify:artist:2sd9Q3r0Jhqpe3w9WVuG43
D.J.Party Dance,spotify:artist:1KxlY33hlCnny9ioMPbAKV
Mighty Dub Katz,spotify:artist:0tOB8FBc9x40nYR1k3e8pZ
Shannon,spotify:artist:2O8QAJmRrwkFXq2aWZnHYB
Lisa Lisa & Cult Jam,spotify:artist:1vgjN6nIPNKiiQGE9PtzTT
Black Box,spotify:artist:6tsRo8ErXzpHk3tQeH6GBW
Kenny Dope,spotify:artist:1TrfxjXu8quyDw05p2bacX
CeCe Peniston,spotify:artist:5UoVLCWzOKMIJ9iioof9OD
Real McCoy,spotify:artist:2vRfKzjQYJQd67X8x49MOh
Paula Abdul,spotify:artist:4PpmBoqphQusNFsxuVKb6j
Color Me Badd,spotify:artist:1QtIfAa6y7w2JhxYJhYeUG
DJ Redbi,spotify:artist:15qegkSANsItRFPkEvGVEu
Us3,spotify:artist:4LtIfuFeAamus9OOItuWDD
